Year of Date,Month of Date,State/UnionTerritory,Confirmed,Cured,Deaths,Confirmed Foreign National,Confirmed Indian National,Date,Sno,Time
2021,March,Bihar,262758,260899,1546,,,3/8/2021,12463,12/30/1899 8:00:00 AM
2021,March,Bihar,261232,260942,1547,,,3/9/2021,12499,12/30/1899 8:00:00 AM
2021,March,Bihar,262820,260975,1547,,,3/10/2021,12535,12/30/1899 8:00:00 AM
2021,March,Bihar,262820,260975,1547,,,3/11/2021,12571,12/30/1899 8:00:00 AM
2021,March,Bihar,262864,261013,1548,,,3/12/2021,12607,12/30/1899 8:00:00 AM
2021,March,Bihar,262937,261064,1549,,,3/13/2021,12643,12/30/1899 8:00:00 AM
2021,March,Bihar,262974,261092,1550,,,3/14/2021,12679,12/30/1899 8:00:00 AM
2021,March,Bihar,263025,261136,1551,,,3/15/2021,12715,12/30/1899 8:00:00 AM
2021,March,Bihar,263051,261171,1552,,,3/16/2021,12751,12/30/1899 8:00:00 AM
2021,March,Bihar,263100,261200,1553,,,3/17/2021,12787,12/30/1899 8:00:00 AM
2021,March,Bihar,263158,261240,1554,,,3/18/2021,12823,12/30/1899 8:00:00 AM
2021,March,Bihar,263265,261304,1555,,,3/19/2021,12859,12/30/1899 8:00:00 AM
2021,March,Bihar,263355,261362,1556,,,3/20/2021,12895,12/30/1899 8:00:00 AM
2021,March,Bihar,263443,261413,1557,,,3/21/2021,12931,12/30/1899 8:00:00 AM
2021,March,Bihar,263569,261487,1559,,,3/22/2021,12967,12/30/1899 8:00:00 AM
2021,March,Bihar,263659,261537,1561,,,3/23/2021,13003,12/30/1899 8:00:00 AM
2021,March,Bihar,263770,261583,1563,,,3/24/2021,13039,12/30/1899 8:00:00 AM
2021,March,Bihar,263940,261648,1565,,,3/25/2021,13075,12/30/1899 8:00:00 AM
2021,March,Bihar,264198,261706,1567,,,3/26/2021,13111,12/30/1899 8:00:00 AM
2021,March,Bihar,264409,261839,1569,,,3/27/2021,13147,12/30/1899 8:00:00 AM
2021,March,Bihar,264604,261917,1571,,,3/28/2021,13183,12/30/1899 8:00:00 AM
2021,March,Bihar,264955,262036,1572,,,3/29/2021,13219,12/30/1899 8:00:00 AM
2021,March,Bihar,265194,262133,1573,,,3/30/2021,13255,12/30/1899 8:00:00 AM
2021,March,Bihar,265268,262238,1574,,,3/31/2021,13291,12/30/1899 8:00:00 AM
2021,April,Bihar,265527,262371,1576,,,4/1/2021,13327,12/30/1899 8:00:00 AM
2021,April,Bihar,266015,262529,1578,,,4/2/2021,13363,12/30/1899 8:00:00 AM
